CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,DEFENSE_CATEGORY,SEASON,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FGM_GT_15,FGA_GT_15,GT_15_PCT,NS_GT_15_PCT
1629014,Anfernee Simons,1610612757,POR,G,25.0,46,46,0.481,,,,,0.084,Less Than 10Ft,2023-24,,,,,,,,,200.0,297.0,0.673,0.59,,,,
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,31.0,74,73,0.399,,,,,-0.003,Less Than 10Ft,2023-24,,,,,,,,,162.0,278.0,0.583,0.586,,,,
1629731,Dean Wade,1610612739,CLE,F-C,27.0,52,50,0.586,,,,,-0.025,Less Than 10Ft,2023-24,,,,,,,,,144.0,255.0,0.565,0.59,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,23.0,70,70,0.462,,,,,-0.008,Greater Than 15Ft,2023-24,,,,,,,,,,,,,136.0,372.0,0.366,0.373
2544,LeBron James,1610612747,LAL,F,39.0,70,70,0.508,,,,,0.0,Greater Than 15Ft,2023-24,,,,,,,,,,,,,134.0,361.0,0.371,0.371
1627759,Jaylen Brown,1610612738,BOS,G-F,27.0,70,70,0.454,,,,,-0.017,Greater Than 15Ft,2023-24,,,,,,,,,,,,,124.0,343.0,0.362,0.378
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,31.0,74,72,0.471,,,,,-0.036,Greater Than 15Ft,2023-24,,,,,,,,,,,,,112.0,328.0,0.341,0.378
203954,Joel Embiid,1610612755,PHI,C-F,30.0,39,39,0.373,,,,,-0.037,Greater Than 15Ft,2023-24,,,,,,,,,,,,,104.0,311.0,0.334,0.371
1629014,Anfernee Simons,1610612757,POR,G,25.0,46,46,0.414,,,,,-0.001,Greater Than 15Ft,2023-24,,,,,,,,,,,,,98.0,256.0,0.383,0.383
1629731,Dean Wade,1610612739,CLE,F-C,27.0,52,49,0.303,,,,,-0.104,Greater Than 15Ft,2023-24,,,,,,,,,,,,,36.0,132.0,0.273,0.376
2544,LeBron James,1610612747,LAL,F,40.0,70,69,0.47,124.0,365.0,0.34,0.356,-0.017,3 Pointers,2024-25,,,,,,,,,,,,,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,28.0,63,62,0.449,108.0,331.0,0.326,0.364,-0.038,3 Pointers,2024-25,,,,,,,,,,,,,,,,
1629014,Anfernee Simons,1610612757,POR,G,26.0,70,67,0.362,110.0,295.0,0.373,0.368,0.004,3 Pointers,2024-25,,,,,,,,,,,,,,,,
203484,Kentavious Caldwell-Pope,1610612763,MEM,G,32.0,77,73,0.369,101.0,245.0,0.412,0.369,0.043,3 Pointers,2024-25,,,,,,,,,,,,,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,24.0,52,52,0.39,89.0,244.0,0.365,0.365,0.0,3 Pointers,2024-25,,,,,,,,,,,,,,,,
