SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,SEASON
22024,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.571,63,0.048,0.971,0.455,0.118,0.103,0.118,0.029,0.456,0.518,68,66,25,55,30,2024-25
22024,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Handoff,Offensive,0.502,70,0.039,0.938,0.375,0.062,0.092,0.062,0.015,0.369,0.491,65,61,21,56,35,2024-25
22024,203484,Kentavious Caldwell-Pope,1610612753,ORL,Orlando Magic,Handoff,Offensive,0.754,77,0.068,1.07,0.513,0.047,0.07,0.047,0.023,0.488,0.551,43,46,20,39,19,2024-25
22024,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.957,19,0.042,1.263,0.571,0.368,0.0,0.368,0.105,0.684,0.607,19,24,8,14,6,2024-25
22024,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Cut,Offensive,0.926,70,0.036,1.583,0.827,0.15,0.05,0.15,0.067,0.8,0.827,60,95,43,52,9,2024-25
22024,1641737,Adem Bona,1610612755,PHI,Philadelphia 76ers,Cut,Offensive,0.748,58,0.202,1.417,0.766,0.167,0.15,0.167,0.1,0.667,0.766,60,85,36,47,11,2024-25
22024,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Cut,Offensive,0.066,63,0.028,1.0,0.529,0.15,0.025,0.15,0.025,0.525,0.529,40,40,18,34,16,2024-25
22024,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Cut,Offensive,0.994,52,0.01,1.769,0.75,0.538,0.077,0.538,0.231,0.769,0.75,13,23,6,8,2,2024-25
22024,1629731,Dean Wade,1610612739,CLE,Cleveland Cavaliers,Cut,Offensive,0.801,59,0.049,1.467,0.786,0.067,0.0,0.067,0.0,0.733,0.786,15,22,11,14,3,2024-25
22024,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Cut,Offensive,0.336,19,0.039,1.222,0.462,0.278,0.0,0.222,0.0,0.611,0.462,18,22,6,13,7,2024-25
